country,year,Labor Force
Romania,2019,8972261
Romania,2018,8999055
Romania,2017,9055160
Romania,2016,8915255
Romania,2015,9108577
Romania,2014,9205404
Romania,2013,9175559
Romania,2012,9217871
Romania,2011,9173378
Romania,2010,9351118
Romania,2009,9338466
Romania,2008,9432554
Romania,2007,9637035
Romania,2006,9809182
Romania,2005,9663356
Romania,2004,9978945
Romania,2003,10032640
Romania,2002,10362670
Romania,2001,11455443
Romania,2000,11764752
Romania,1999,11812470
Romania,1998,11808408
Romania,1997,11948224
Romania,1996,11703636
Romania,1995,12086487
Romania,1994,12185143
Romania,1993,12271979
Romania,1992,12348267
Romania,1991,12298135
United States,2019,167100511
United States,2018,165307010
United States,2017,163971527
United States,2016,162448669
United States,2015,160644681
United States,2014,159540139
United States,2013,158809862
United States,2012,158452840
United States,2011,157443452
United States,2010,157357516
United States,2009,157377606
United States,2008,157246174
United States,2007,155503665
United States,2006,154154002
United States,2005,152044690
United States,2004,150113013
United States,2003,148886198
United States,2002,148166550
United States,2001,147200475
United States,2000,146165416
United States,1999,144105404
United States,1998,142198651
United States,1997,140577814
United States,1996,138055157
United States,1995,135975697
United States,1994,134076659
United States,1993,131792391
United States,1992,130387356
United States,1991,128277990
